Date,Symbol,Open,High,Low,Close,Volume
2023-06-11,SHIB-USD,7.000000096013537e-06,7.000000096013537e-06,7.000000096013537e-06,7.000000096013537e-06,111177162
2023-06-12,SHIB-USD,7.000000096013537e-06,7.000000096013537e-06,6.000000212225132e-06,7.000000096013537e-06,100135834
2023-06-13,SHIB-USD,7.000000096013537e-06,7.000000096013537e-06,7.000000096013537e-06,7.000000096013537e-06,91647736
2023-06-14,SHIB-USD,7.000000096013537e-06,7.000000096013537e-06,6.000000212225132e-06,7.000000096013537e-06,88041050
2023-06-15,SHIB-USD,7.000000096013537e-06,7.000000096013537e-06,7.000000096013537e-06,7.000000096013537e-06,67879051
2023-06-16,SHIB-USD,7.000000096013537e-06,7.000000096013537e-06,7.000000096013537e-06,7.000000096013537e-06,61620712
2023-06-17,SHIB-USD,7.000000096013537e-06,7.000000096013537e-06,7.000000096013537e-06,7.000000096013537e-06,58866440
2023-06-18,SHIB-USD,7.000000096013537e-06,7.999999979801942e-06,7.000000096013537e-06,7.000000096013537e-06,196381639
2023-06-19,SHIB-USD,7.000000096013537e-06,7.000000096013537e-06,7.000000096013537e-06,7.000000096013537e-06,102490690
2023-06-20,SHIB-USD,7.000000096013537e-06,7.000000096013537e-06,7.000000096013537e-06,7.000000096013537e-06,98126114
2023-06-21,SHIB-USD,7.000000096013537e-06,7.999999979801942e-06,7.000000096013537e-06,7.999999979801942e-06,150062421
2023-06-22,SHIB-USD,7.999999979801942e-06,7.999999979801942e-06,7.999999979801942e-06,7.999999979801942e-06,365516265
2023-06-23,SHIB-USD,7.999999979801942e-06,7.999999979801942e-06,7.999999979801942e-06,7.999999979801942e-06,164734023
2023-06-24,SHIB-USD,7.999999979801942e-06,7.999999979801942e-06,7.999999979801942e-06,7.999999979801942e-06,118080758
2023-06-25,SHIB-USD,7.999999979801942e-06,7.999999979801942e-06,7.999999979801942e-06,7.999999979801942e-06,98980264
2023-06-26,SHIB-USD,7.999999979801942e-06,7.999999979801942e-06,7.000000096013537e-06,7.999999979801942e-06,119079928
